Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
CXCL14	-4.97595320225347	0.00861627735937499	-7.96380463080812	2.83948506048123e-08	1.28317795341526e-05	9.12880694214004
CRHBP	-4.37622935576736	3.01371928047743	-8.20249445843137	1.66216303118531e-08	1.07465232900866e-05	9.63962442832993
COLEC10	-4.37245716334722	0.0925379431666667	-7.90666483980273	3.23147701148365e-08	1.28317795341526e-05	9.00528305646498
FCN3	-4.35109199263889	1.09343156370486	-8.35164412154612	1.19404701848644e-08	8.93582924024988e-06	9.95455897208321
MOGAT2	-4.23869927131944	0.480079498059028	-4.80190592877034	6.45304793844923e-05	0.00190227047998671	1.68335895352963
VIPR1	-4.20783215916667	0.174262438986111	-6.29539496702009	1.47227167834677e-06	0.000152770906870427	5.33454286584624
DCN	-4.12865617928125	1.97254034751563	-5.7052920059	6.42497593675678e-06	0.000391318280785802	3.91120428530658
CLEC1B	-4.03540951681597	-0.487457073043403	-8.18047458330469	1.74578502970578e-08	1.08691282775386e-05	9.59285077986415
MT1G	-3.96415147665972	2.88282890764236	-8.37439524302465	1.13559077457326e-08	8.93582924024988e-06	10.0023100701151
CYP2E1	-3.92280059309375	5.1857234288559	-4.85237116870628	5.6672817987965e-05	0.00173528245970436	1.80855003702248
SLC25A47	-3.88107346610764	2.22470919305035	-6.96667752810487	2.88360142302228e-07	5.32880082922334e-05	6.9061211597582
RSPO3	-3.86338715955555	-3.02772834255208	-6.22130708204006	1.76805635097607e-06	0.000171797845432993	5.15779275821614
LYVE1	-3.74546683868924	0.490147136466146	-7.9615415820223	2.85404168419357e-08	1.28317795341526e-05	9.12392380193351
MT1H	-3.72141793025347	2.75703265083507	-9.06623430809265	2.54997695816088e-09	4.76279029629827e-06	11.4178749742936
ST8SIA6	-3.69774151712153	-2.05715471867188	-5.52481438679983	1.01458317821326e-05	0.000532973225805155	3.46967037524103
SAA1	-3.67399865676736	3.61502107614062	-5.55618743840014	9.36952052356995e-06	0.000506471579092599	3.54659752262716
MT1M	-3.65513953884375	1.97657158604687	-6.44981581125414	1.00717282674424e-06	0.000116762587707384	5.70094124580959
IL1RL1	-3.61940350947222	-1.40076381690972	-4.40342832193901	0.000180015996608546	0.00365467258815175	0.695898239230227
MARCO	-3.59813053125	1.81280312031944	-9.35645346093735	1.38847269755474e-09	3.33431800655645e-06	11.9907469018475
C9	-3.57799623434722	3.59541735203472	-5.03467427940772	3.54749996223945e-05	0.00123720901172708	2.26052517771377
CHI3L1	-3.54352901508681	2.4490747239184	-5.04692256304534	3.43772480071149e-05	0.00121272348727844	2.29086617472858
CCBE1	-3.527343267375	-1.30779202987847	-4.70076541066521	8.37215949795474e-05	0.00222749483275792	1.43245318727408
CLEC4G	-3.50739728325347	0.925407682241319	-10.9190437484072	6.31166368278795e-11	1.06099066507665e-06	14.8691521041091
MT1E	-3.50201386047917	4.47979305256944	-7.30122757854313	1.30601366948934e-07	3.40508015131381e-05	7.66747212643236
NPY1R	-3.4735200088125	-2.93099004289583	-7.24761065640642	1.48136365062866e-07	3.66201808339233e-05	7.54648821092387
HHIP	-3.46020175487847	-0.821981638678819	-6.10288355862049	2.37193952534422e-06	0.000207587844612174	4.87403479926199
RELN	-3.44712192695139	0.282504716961806	-5.06916700670093	3.24702327380471e-05	0.00117381637059478	2.34595823034819
HAMP	-3.43249764437153	2.25868970321354	-9.59426131586725	8.50612549436778e-10	2.66228397348718e-06	12.4510385936788
STEAP4	-3.41603134813889	0.591067386732639	-6.56664446441179	7.57063349438719e-07	0.000101004713480301	5.97627722496294
